variable,n_samples,r2_v267,r2_v214
Depth (m),238506,0.6203337999511679,0.697976738136679
JR6A: Declination (deg),26462,0.34366127787949263,0.3407279722741915
JR6A: Inclination (deg),26462,0.5818018392840296,0.5802445425820394
JR6A: Latitude (DD),26462,0.9852662152514127,0.9940975396128687
JR6A: Longitude (DD),26462,0.9936071148026906,0.9970518872287949
JR6A: Total intensity (A/m),26462,0.21707578673837025,0.2175313283187993
JR6A: Treatment value (mT or deg-C),26462,0.12641711976733816,0.12003379773066358
JR6A: Water Depth (mbsl),26462,0.9793966659758561,0.9884917476956565
MAD: Bulk density (g/cm^3),12113,0.6957997106573784,0.7489983966335971
MAD: Dry density (g/cm^3),12113,0.7011711736295667,0.7540168132729927
MAD: Grain density (g/cm^3),12113,0.23946326004097085,0.27181887655285
MAD: Latitude (DD),12113,0.7578508191728716,0.828527605056713
MAD: Longitude (DD),12113,0.6298277335866613,0.7479796343906622
MAD: Mass dried sample (g),12113,0.5173382136715381,0.5736012321371681
MAD: Mass porewater (g),12113,0.5447095617093991,0.6282140304462758
MAD: Mass solids (g),12113,0.5259515119393651,0.5789645486552678
MAD: Mass wet sample (g),12113,0.34612500413507574,0.4209247701300819
MAD: Moisture dry (wt%),12113,0.6033324770982396,0.6911347491340212
MAD: Moisture wet (wt%),12113,0.6818072076044016,0.762593219135164
MAD: Porosity (vol%),12112,0.6892643265915863,0.7537452983537009
MAD: Void ratio,12113,0.658557546669333,0.7382433886186912
MAD: Vol dried sample (cm^3),12113,0.47883195018696667,0.5403800491619609
MAD: Vol porewater (cm^3),12113,0.5410544062293114,0.6248494760920327
MAD: Vol solids (cm^3),12113,0.4883469829222613,0.5461175627250081
MAD: Vol wet sample (cm^3),12113,0.32234698916690063,0.4151635945580364
MAD: Water Depth (mbsl),12113,0.697308662559029,0.7684329000347218
