variable,n_samples,n_used,r2_v267,r2_v214
AVS: Max torque angle (deg),1130,1130,0.07633812560175479,0.13717983815467605
AVS: Vane rotation rate (deg/s),1129,1129,-1.441359562097221,0.21657416087134262
AVS: Vane shear strength (kN/m^2),1130,1130,0.3672340085152761,0.36624410829361254
CARB: Calcium carbonate (wt%),5237,5237,0.857112496293267,0.9053237765933503
CARB: Hydrogen (wt%),2292,2292,0.8961019434005213,0.8990933828034038
CARB: Inorganic carbon (wt%),5237,5237,0.8601946677977625,0.9057164333721432
CARB: Nitrogen (wt%),3557,3557,0.3658915458772837,0.360580855157819
CARB: Organic carbon (wt%) by difference (CHNS-COUL),3215,3215,0.14192108859776464,0.15101928985374624
CARB: Sulfur (wt%),3224,3224,0.08615440545219966,0.2453025178311269
CARB: Total carbon (wt%),4086,4086,0.7810328269977245,0.8106321569189222
Depth (m),238506,100000,0.593850588753273,0.6809269418254921
GE: C1/C2 ratio GC3,259,259,0.30677831805102274,0.3963017173933945
GE: Carbon Dioxide (ppmv) NGA-TCD,263,263,0.253109375580855,0.2684209170959496
GE: Ethane (ppmv) GC3,3787,3787,0.01292477364687783,0.048968800575300286
GE: Ethane (ppmv) NGA-FID,268,268,-0.00851447259256588,-0.08001458773871173
GE: Ethene (ppmv) GC3,3793,3793,-0.037061860341218056,-0.359002100479211
GE: Methane (ppmv) GC3,3793,3793,0.009569796596017976,0.027993249058922975
GE: Methane (ppmv) NGA-FID,268,268,-0.11926172316026196,-0.015242775562944066
GE: Propane (ppmv) GC3,3792,3792,0.34153876289942686,0.4805843211416586
GE: Propene (ppmv) GC3,3792,3792,-516.169450199205,-2964.4603835495573
GE: Propene+Propane (ppmv) NGA-FID,235,235,-0.08837195553800403,-0.04638903859716281
GE: iso-Butane (ppmv) NGA-FID,268,268,-478.84588246971555,-463.10248063359103
GE: iso-hexane (ppmv) NGA-FID,268,268,-inf,-inf
GE: iso-pentane (ppmv) NGA-FID,268,268,-0.3553950883458816,-0.21784479734933493
GE: n-Butane (ppmv) NGA-FID,268,268,-0.1054993209162216,-0.03798076862022315
GE: n-hexane (ppmv) NGA-FID,268,268,-inf,-inf
GE: n-pentane (ppmv) NGA-FID,268,268,-inf,-inf
ICP: Al2O3 (wt%),253,253,0.5499953010718246,0.45685449575344694
ICP: Al2O3 (wt%) 308.2 nm ,179,179,0.7588450348257649,0.9069198347979501
ICP: Al2O3 (wt%) 396.152 nm ,156,156,-0.32192671655784033,-0.39774588075582296
ICP: Al2O3 (wt%) 396.2 nm ,290,290,0.7075974602832416,0.7499217570399794
ICP: Ba (ppm),219,219,0.3333859825780904,0.6130421667026604
ICP: Ba (ppm) 455.4 nm ,150,150,0.1803088780088672,0.20091530172395244
ICP: Ba (ppm) 455.403 nm ,156,156,0.2482319086661573,0.1003164892598517
ICP: Ba (ppm) 493.4 nm ,240,240,0.14744466838643988,-0.006197494881263532
ICP: CaO (wt%),255,255,0.7825067112467873,0.8065404604073821
ICP: CaO (wt%) 315.9 nm ,273,273,0.5065348738358477,0.6668220286564586
ICP: CaO (wt%) 317.9 nm ,259,259,0.6172750375076075,0.6259505739643385
ICP: CaO (wt%) 317.933 nm ,156,156,-0.41703892124818087,0.0038010710121887392
ICP: CaO (wt%) 422.7 nm ,185,185,0.34530648134738684,0.2712267962525672
ICP: Co (ppm),182,182,0.38466623265676736,0.2390183795147387
ICP: Co (ppm) 228.6 nm ,252,252,0.8628167995866095,0.8570241779483035
