variable,n_samples,r2_v267,r2_v214,r2_v267_se,r2_v214_se,r2_v267_ci_low,r2_v267_ci_high,r2_v214_ci_low,r2_v214_ci_high
AVS: Max torque angle (deg),1130,0.0763381256017547,0.137179838154676,0.015183592437793162,0.019013243135781392,0.0465782844236801,0.10609796677982929,0.09991388160854447,0.1744457947008075
AVS: Vane rotation rate (deg/s),1129,-1.441359562097221,0.2165741608713426,0.005892752751194802,0.021701224328226455,-1.4529093574895628,-1.4298097667048792,0.17403976118801875,0.25910856055466647
AVS: Vane shear strength (kN/m^2),1130,0.3672340085152761,0.3662441082936125,0.022814205551105048,0.022819078753239283,0.3225181656351102,0.411949851395442,0.3215187139372635,0.41096950264996146
CARB: Calcium carbonate (wt%),5237,0.857112496293267,0.9053237765933504,0.0036559636683109772,0.0024896115934924376,0.8499468075033775,0.8642781850831566,0.9004441378701052,0.9102034153165955
CARB: Hydrogen (wt%),2292,0.8961019434005213,0.8990933828034038,0.004108741539544797,0.003997097451819268,0.8880488099830135,0.9041550768180291,0.891259071797838,0.9069276938089695
CARB: Inorganic carbon (wt%),5237,0.8601946677977625,0.9057164333721432,0.0035835281268763158,0.002479823866910205,0.8531709526690849,0.8672183829264402,0.9008559785929993,0.9105768881512872
CARB: Nitrogen (wt%),3557,0.3658915458772837,0.360580855157819,0.012862571263615777,0.012875823968081148,0.34068090620059677,0.3911021855539706,0.33534424018037995,0.3858174701352581
CARB: Organic carbon (wt%) by difference (CHNS-COUL),3215,0.1419210885977646,0.1510192898537462,0.011402240644384571,0.01163733513879321,0.11957269693477082,0.16426948026075835,0.12821011298171153,0.1738284667257809
CARB: Sulfur (wt%),3224,0.0861544054521996,0.2453025178311269,0.009448090541750274,0.013166076771780407,0.06763614799036907,0.10467266291403013,0.2194970073584373,0.2711080283038165
CARB: Total carbon (wt%),4086,0.7810328269977245,0.8106321569189222,0.006054725657018547,0.005334564382095094,0.7691655647099681,0.7929000892854808,0.8001764107300158,0.8210879031078286
Depth (m),238506,0.593850588753273,0.6809269418254921,0.001979495046779752,0.0016652152884929945,0.5899707784615847,0.5977303990449613,0.6776631198600458,0.6841907637909383
GE: C1/C2 ratio GC3,259,0.3067783180510227,0.3963017173933945,0.04771606069793773,0.04722946555816287,0.21325483908306472,0.4003017970189806,0.30373196489939525,0.4888714698873937
GE: Carbon Dioxide (ppmv) NGA-TCD,263,0.253109375580855,0.2684209170959496,0.0463407699700048,0.04674353780926671,0.16228146643964558,0.3439372847220644,0.17680358298978688,0.36003825120211236
GE: Ethane (ppmv) GC3,3787,0.0129247736468778,0.0489688005753002,0.0036470697411919183,0.006839696657094065,0.0057765169541416405,0.02007303033961396,0.03556299512739584,0.06237460602320457
GE: Ethane (ppmv) NGA-FID,268,-0.0085144725925658,-0.0800145877387117,0.012094774991274216,0.012094774991274216,-0.03222023157546326,0.015191286390331665,-0.10372034672160917,-0.056308828755814236
GE: Ethene (ppmv) GC3,3793,-0.037061860341218,-0.359002100479211,0.0032149466383888624,0.0032149466383888624,-0.04336315575246017,-0.03076056492997583,-0.3653033958904532,-0.3527008050679688
GE: Methane (ppmv) GC3,3793,0.0095697965960179,0.0279932490589229,0.0032149466383888624,0.005281223044479816,0.0032685011847757304,0.01587109200726007,0.01764205189174246,0.038344446226103335
GE: Methane (ppmv) NGA-FID,268,-0.1192617231602619,-0.015242775562944,0.012094774991274216,0.012094774991274216,-0.14296748214315935,-0.09555596417736444,-0.03894853454584146,0.008462983419953465
GE: Propane (ppmv) GC3,3792,0.3415387628994268,0.4805843211416586,0.01249815900104332,0.01169487772041178,0.3170423712573819,0.36603515454147173,0.4576623608096515,0.5035062814736657
GE: Propene (ppmv) GC3,3792,-516.169450199205,-2964.4603835495573,0.0032153705221850733,0.0032153705221850733,-516.1757523254284,-516.1631480729816,-2964.466685675781,-2964.4540814233337
GE: Propene+Propane (ppmv) NGA-FID,235,-0.088371955538004,-0.0463890385971628,0.012916095846458156,0.012916095846458156,-0.11368750339706199,-0.06305640767894602,-0.07170458645622078,-0.021073490738104814
GE: iso-Butane (ppmv) NGA-FID,268,-478.8458824697156,-463.10248063359103,0.012094774991274216,0.012094774991274216,-478.8695882286985,-478.8221767107327,-463.1261863925739,-463.07877487460814
GE: iso-hexane (ppmv) NGA-FID,268,-inf,-inf,0.012094774991274216,0.012094774991274216,-inf,-inf,-inf,-inf
